Date,Time,Magnitude,Depth,population_impacted,dangerosite_adjusted
05/02/1965,07:13:45,5.8,0.03488372093023256,3.566247955403838e-05,elevee
05/03/1965,01:09:34,5.8,0.13953488372093023,0.0019969475750819575,moderee
05/03/1965,10:01:38,5.9,0.023255813953488372,0.004966061072643771,moderee
05/03/1965,16:09:09,5.7,0.17054263565891473,1.458366938629503e-06,elevee
05/04/1965,08:34:43,6.2,0.015503875968992248,0.002216585553494584,moderee
05/12/1965,08:05:56,5.7,0.07751937984496124,1.5748666339693684e-05,elevee
05/12/1965,10:33:47,6.1,0.2373643410852713,0.0,faible
05/15/1965,23:58:36,5.8,0.03875968992248062,0.0,faible
05/16/1965,11:35:47,5.9,0.05426356589147287,0.0014859048368817144,moderee
05/17/1965,17:19:33,6.7,0.10604651162790699,0.001523282293747006,moderee
05/19/1965,03:00:58,5.6,0.05426356589147287,7.931593335638886e-07,faible
05/19/1965,06:03:56,5.6,0.05426356589147287,0.0,faible
05/19/1965,13:59:55,5.5,0.07751937984496124,7.532539464162224e-05,elevee
05/20/1965,00:40:27,7.7,0.18604651162790697,1.0166860548409845e-05,elevee
05/22/1965,03:05:46,5.7,0.05426356589147287,0.0,faible
05/22/1965,10:31:39,6.1,0.8586046511627906,0.0,faible
05/23/1965,23:46:15,6.0,0.044186046511627906,0.0,faible
05/24/1965,23:21:12,5.9,0.03875968992248062,0.0031309081047900676,moderee
05/25/1965,13:07:51,5.8,0.04666666666666667,0.0,faible
05/26/1965,19:44:13,6.0,0.1937984496124031,0.0,faible
05/31/1965,11:38:42,5.9,0.23255813953488372,0.0,faible
06/02/1965,05:13:00,5.7,0.8372093023255814,0.0,faible
06/02/1965,23:40:23,5.9,0.01937984496124031,0.0,faible
06/05/1965,03:49:03,5.6,0.031007751937984496,0.0,faible
06/11/1965,02:37:35,5.6,0.031007751937984496,0.0,faible
06/11/1965,03:33:47,7.0,0.06310077519379845,0.0,moderee
06/11/1965,03:34:04,7.2,0.08992248062015504,4.508707869403282e-06,elevee
