Date,Time,Latitude,Longitude,Depth,Magnitude,population_impacted
05/24/1965,23:21:12,13.174,124.604,25.0,5.9,4428970
05/25/1965,13:07:51,51.227,178.882,30.1,5.8,0
05/26/1965,19:44:13,-55.957,-27.875,125.0,6.0,0
05/31/1965,11:38:42,-7.566,128.578,150.0,5.9,0
06/02/1965,05:13:00,-23.54,-179.917,540.0,5.7,0
06/02/1965,23:40:23,15.674,-46.712,12.5,5.9,0
06/05/1965,03:49:03,-1.649,126.552,20.0,5.6,0
06/11/1965,02:37:35,51.884,174.015,20.0,5.6,0
06/11/1965,03:33:47,44.608,149.022,40.7,7.0,0
06/11/1965,03:34:04,44.578,148.699,58.0,7.2,6378
06/11/1965,07:11:04,44.133,149.255,31.6,5.5,0
06/11/1965,07:27:44,44.112,149.539,35.0,5.6,0
06/11/1965,08:41:01,44.299,149.032,32.6,5.7,0
06/12/1965,05:28:40,44.167,149.87,35.0,5.6,0
06/12/1965,05:40:58,43.775,149.448,38.0,5.7,0
06/12/1965,06:03:33,43.804,149.351,35.0,5.7,0
06/12/1965,18:45:44,43.885,149.339,35.0,5.5,0
06/12/1965,18:50:12,-20.38,-68.944,102.2,5.9,314322
06/13/1965,07:06:15,41.705,143.727,38.1,6.1,50687
06/13/1965,20:01:51,37.718,29.378,25.0,5.9,2718470
06/14/1965,07:30:42,-39.902,45.55,10.0,5.6,0
06/15/1965,09:20:34,-38.08,177.442,95.0,5.9,128196
06/15/1965,23:10:29,-21.025,173.574,25.0,6.2,0
06/17/1965,20:14:51,32.052,87.784,10.0,5.9,3900
06/20/1965,01:57:26,44.505,149.218,45.0,5.6,0
06/20/1965,18:04:34,42.973,-126.652,10.0,5.5,0
06/21/1965,00:21:17,28.134,55.891,25.0,5.9,211431
06/22/1965,23:48:07,7.175,123.613,40.0,6.3,6490638
06/23/1965,11:09:17,56.543,-152.948,20.0,6.5,289
06/24/1965,07:45:13,7.034,126.25,30.0,5.8,10119897
06/27/1965,09:45:45,-54.437,4.965,10.0,5.7,0
06/27/1965,11:08:59,60.281,-141.418,15.0,6.5,0
06/27/1965,11:36:14,23.764,121.56,40.0,5.9,25371346
06/28/1965,03:33:35,-5.01,153.06,25.0,6.0,0
06/30/1965,02:53:16,-1.734,126.53,30.0,5.8,0
06/30/1965,08:33:33,51.813,176.53,44.6,5.7,0
07/01/1965,23:12:42,-63.159,-163.707,10.0,6.1,0
07/02/1965,20:58:40,52.99,-167.739,45.0,7.8,0
07/03/1965,11:26:13,22.338,101.496,35.0,5.9,4811708
07/06/1965,03:04:21,-22.567,172.939,35.0,5.8,0
07/06/1965,03:18:45,38.384,22.545,20.0,6.3,12540010
07/06/1965,04:08:49,46.591,152.467,45.0,5.6,0
07/06/1965,18:36:46,-4.408,155.062,490.0,6.3,0
07/07/1965,23:00:00,-6.819,105.505,35.0,5.7,0
07/12/1965,13:57:15,-28.428,-68.25,112.4,5.7,35615
07/15/1965,18:33:30,7.74,123.811,570.0,6.0,10630797
07/17/1965,07:20:34,-9.72,159.888,25.0,5.9,55722
07/20/1965,13:18:28,7.56,124.247,24.6,5.7,14022035
07/21/1965,17:52:33,53.318,170.365,28.8,5.5,0
07/25/1965,03:40:43,1.813,99.276,105.0,5.5,390680
07/25/1965,13:33:04,41.278,146.682,15.0,5.6,0
07/25/1965,21:46:45,51.472,175.894,20.1,5.7,0
07/28/1965,22:29:09,-2.335,101.767,140.0,5.6,84624
07/29/1965,08:29:24,51.05,-171.289,21.4,6.8,0
07/29/1965,12:20:21,50.799,-171.607,15.0,5.7,0
07/29/1965,15:08:37,51.076,-171.466,20.0,5.6,0
07/30/1965,07:20:10,6.789,-72.907,160.0,5.6,4340448
08/01/1965,23:44:29,-32.441,-178.803,45.0,5.9,0
08/02/1965,13:19:57,-56.046,157.922,10.0,7.3,0
08/03/1965,02:01:53,-7.526,-81.179,26.3,5.7,0
08/05/1965,00:07:52,-5.213,151.701,60.0,6.5,62309
08/11/1965,03:40:58,-15.449,166.98,25.0,7.2,15480
08/11/1965,07:18:47,-15.67,167.216,30.0,5.8,15580
08/11/1965,19:52:32,-15.685,167.097,30.0,6.9,15580
08/11/1965,20:13:58,-15.741,167.26,30.0,6.0,15680
08/11/1965,22:31:51,-15.861,167.092,30.0,7.6,15530
08/12/1965,08:01:46,-15.817,167.399,30.0,6.9,15660
08/12/1965,12:57:15,-5.36,152.116,51.0,6.8,42644
08/12/1965,18:04:56,-15.931,167.392,35.0,5.9,15329
08/13/1965,04:40:57,-15.97,167.439,30.0,5.8,230743
08/13/1965,11:24:53,-15.995,166.96,25.0,6.1,15332
