Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,population_impacted,geometry
03/01/1965,21:32:14,15.404,-92.623,Earthquake,105.2,,,5.6,MW,,,,,,,924435,POINT (-92.623 15.404)
03/02/1965,22:00:05,38.399,28.226,Earthquake,10.0,,,5.8,MW,,,,,,,12576347,POINT (28.226 38.399)
03/03/1965,14:39:02,-27.145,-177.262,Earthquake,15.0,,,5.6,MW,,,,,,,0,POINT (-177.262 -27.145)
03/03/1965,15:14:08,-5.514,151.819,Earthquake,14.8,,,6.7,MW,,,,,,,62309,POINT (151.819 -5.514)
03/03/1965,16:47:28,53.046,171.308,Earthquake,25.7,,,6.3,MW,,,,,,,0,POINT (171.308 53.046)
03/04/1965,01:48:56,-5.487,146.993,Earthquake,200.0,,,5.7,MW,,,,,,,0,POINT (146.993 -5.487)
03/05/1965,06:15:04,50.928,179.511,Earthquake,30.0,,,5.5,MW,,,,,,,0,POINT (179.511 50.928)
03/05/1965,13:42:47,52.39,174.937,Earthquake,35.0,,,5.6,MW,,,,,,,0,POINT (174.937 52.39)
03/05/1965,14:32:18,-27.027,-63.214,Earthquake,560.8,,,5.8,MW,,,,,,,20774,POINT (-63.214 -27.027)
03/05/1965,17:59:16,52.416,174.239,Earthquake,35.0,,,5.6,MW,,,,,,,0,POINT (174.239 52.416)
03/06/1965,11:10:51,-18.425,-132.923,Earthquake,10.0,,,5.6,MW,,,,,,,0,POINT (-132.923 -18.425)
03/06/1965,20:23:57,20.13,121.461,Earthquake,45.0,,,5.8,MW,,,,,,,63743,POINT (121.461 20.13)
03/07/1965,01:43:11,-29.998,-177.968,Earthquake,50.0,,,6.0,MW,,,,,,,0,POINT (-177.968 -29.998)
03/09/1965,17:57:55,39.197,23.86,Earthquake,15.0,,,6.1,MW,,,,,,,393709,POINT (23.86 39.197)
