Date	Time	Latitude	Longitude	Depth	Magnitude	population_impacted	Magnitude_log	Depth_log	population_impacted_log	Depth_inverse	Depth_inverse_log	cluster_kmeans	cluster_dbscan	dangerosite_kmeans	dangerosite_dbscan
03/30/1965	00:21:00	-20.502	-173.701	20.0	5.9	137	1.9315214116032138	3.044522437723423	4.927253685157205	0.047619047619047616	0.04652001563489285	2	4	elevee	
03/30/1965	02:27:06	50.282	177.959	20.0	7.6	0	2.151762203259462	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	0	faible	faible
03/31/1965	09:47:31	38.365	22.405	75.0	6.8	12388263	2.0541237336955462	4.330733340286331	16.332260130794232	0.013157894736842105	0.01307208156735277	1	1	moderee	elevee
04/01/1965	07:08:37	9.986	125.896	60.0	5.9	2461099	1.9315214116032138	4.110873864173311	14.716118962436322	0.01639344262295082	0.016260520871780308	1	1	moderee	elevee
04/03/1965	11:20:43	15.8	-98.067	10.0	5.8	89502	1.916922612182061	2.3978952727983707	11.402027423254252	0.09090909090909091	0.08701137698962977	2	1	elevee	elevee
04/04/1965	13:30:39	51.865	175.172	30.7	5.7	0	1.9021075263969205	3.456316680883235	0.0	0.031545741324921134	0.031058397019972775	0	0	faible	faible
04/04/1965	15:36:13	-27.088	-176.046	25.0	5.6	0	1.8870696490323797	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
04/05/1965	03:12:53	37.505	22.067	20.0	6.1	904778	1.9600947840472698	3.044522437723423	13.71544599396563	0.047619047619047616	0.04652001563489285	1	1	moderee	elevee
04/05/1965	13:52:12	44.812	150.871	39.2	5.7	0	1.9021075263969205	3.6938669956249752	0.0	0.02487562189054726	0.024571260730505327	0	0	faible	faible
04/06/1965	05:31:59	36.083	139.968	50.0	5.7	192115717	1.9021075263969205	3.9318256327243257	19.073608446359277	0.0196078431372549	0.019418085857101582	1	-1	moderee	anomalie
04/06/1965	09:42:29	-0.463	120.039	25.0	6.2	335297	1.9740810260220096	3.258096538021482	12.722774967628895	0.038461538461538464	0.03774032798284703	1	1	moderee	elevee
04/08/1965	13:43:54	52.192	173.437	25.0	6.1	0	1.9600947840472698	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
04/09/1965	10:45:26	-32.707	-178.207	20.0	6.0	0	1.9459101490553132	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	0	faible	faible
04/09/1965	23:57:06	35.047	24.318	65.0	6.2	345269	1.9740810260220096	4.189654742026425	12.752081998630647	0.015151515151515152	0.015037877364540516	1	1	moderee	elevee
04/10/1965	14:46:51	-20.455	-173.621	17.5	5.7	0	1.9021075263969205	2.917770732084279	0.0	0.05405405405405406	0.052643733485421985	0	0	faible	faible
04/10/1965	22:32:48	-17.857	-178.646	543.7	6.5	0	2.0149030205422647	6.300235184389629	0.0	0.0018358729575913345	0.0018341898025574777	0	0	faible	faible
04/10/1965	22:53:05	-13.409	170.376	635.0	6.3	0	1.9878743481543455	6.455198563340122	0.0	0.0015723270440251573	0.001571092232041202	0	0	faible	faible
04/11/1965	00:11:11	-42.692	174.205	20.0	5.9	3194	1.9315214116032138	3.044522437723423	8.069342366811636	0.047619047619047616	0.04652001563489285	2	1	elevee	elevee
04/11/1965	18:51:37	-26.168	178.628	570.0	5.7	0	1.9021075263969205	6.3473892096560105	0.0	0.0017513134851138354	0.0017497817237876823	0	0	faible	faible
04/12/1965	20:41:17	30.317	138.702	421.7	5.6	0	1.8870696490323797	6.046662707572744	0.0	0.0023657440264963333	0.0023629500597693105	0	0	faible	faible
04/15/1965	05:09:50	25.08	122.897	165.0	5.6	14549	1.8870696490323797	5.111987788356544	9.585346272599638	0.006024096385542169	0.006006024060211875	2	1	elevee	elevee
04/16/1965	23:22:21	64.572	-160.375	15.0	6.0	1797	1.9459101490553132	2.772588722239781	7.494430215031565	0.0625	0.06062462181643484	2	1	elevee	elevee
04/18/1965	06:33:58	41.46	-127.416	10.0	5.9	0	1.9315214116032138	2.3978952727983707	0.0	0.09090909090909091	0.08701137698962977	0	0	faible	faible
04/18/1965	09:39:19	-59.687	-26.454	25.0	6.1	0	1.9600947840472698	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
04/18/1965	12:41:56	-59.586	-26.372	25.0	6.1	0	1.9600947840472698	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
04/19/1965	23:42:00	34.848	138.332	35.0	6.0	6500273	1.9459101490553132	3.58351893845611	15.68735488782357	0.027777777777777776	0.02739897418811444	1	1	moderee	elevee
04/24/1965	21:55:29	11.451	140.231	70.0	5.8	0	1.916922612182061	4.2626798770413155	0.0	0.014084507042253521	0.01398624197473989	0	0	faible	faible
04/25/1965	01:00:15	24.409	142.776	30.0	6.0	0	1.9459101490553132	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
04/26/1965	09:47:29	-1.733	126.568	25.0	5.7	0	1.9021075263969205	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
04/26/1965	20:29:07	54.157	-162.59	36.8	5.6	57	1.8870696490323797	3.632309102625542	4.060443010546419	0.026455026455026457	0.026111144003685756	0	5	faible	
04/26/1965	22:15:45	21.045	120.798	37.1	6.1	0	1.9600947840472698	3.6402142821326553	0.0	0.026246719160104987	0.025908184858664807	0	0	faible	faible
04/27/1965	10:54:24	-6.822	129.504	30.0	6.0	0	1.9459101490553132	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
04/27/1965	14:09:10	35.626	23.425	60.0	6.1	116103	1.9600947840472698	4.110873864173311	11.6622416201502	0.01639344262295082	0.016260520871780308	2	1	elevee	elevee
04/27/1965	20:09:17	1.333	-85.075	15.0	5.8	0	1.916922612182061	2.772588722239781	0.0	0.0625	0.06062462181643484	0	0	faible	faible
04/29/1965	15:28:45	47.288	-122.406	64.7	6.7	3816644	2.0412203288596382	4.185098925490565	15.154882322424404	0.015220700152207	0.015106027431013205	1	1	moderee	elevee
04/29/1965	15:48:55	-5.548	110.332	480.0	6.0	0	1.9459101490553132	6.175867270105761	0.0	0.002079002079002079	0.0020768439448391246	0	0	faible	faible
05/01/1965	21:27:54	60.35	-146.176	15.0	5.6	6335	1.8870696490323797	2.772588722239781	8.754002933494261	0.0625	0.06062462181643484	2	1	elevee	elevee
05/02/1965	07:13:45	28.927	128.769	22.5	5.8	50448	1.916922612182061	3.157000421150113	10.828718203979754	0.0425531914893617	0.041672696400568025	2	1	elevee	elevee
05/03/1965	01:09:34	-32.537	-70.569	90.0	5.8	2824874	1.916922612182061	4.51085950651685	14.853974673796106	0.01098901098901099	0.01092907053219027	1	1	moderee	elevee
05/03/1965	10:01:38	13.683	-89.07	15.0	5.9	7024970	1.9315214116032138	2.772588722239781	15.764981645061685	0.0625	0.06062462181643484	1	1	moderee	elevee
